"metric","metric2","time","incidence","death","incidence_rate","death_rate","population"
"艾滋病","AIDS",2023,58903,22137,4.1783,1.5703,1411750000
"艾滋病","AIDS",2022,52058,18885,3.69,1.3388,1412600000
"艾滋病","AIDS",2021,60154,19623,4.2669,1.3919,1412120000
"艾滋病","AIDS",2020,62167,18819,4.43,1.34,1410080000
"艾滋病","AIDS",2019,71204,20999,5.1,1.5,1405410000
"艾滋病","AIDS",2018,64170,18780,4.62,1.35,1400110000
"艾滋病","AIDS",2017,57194,15251,4.14,1.11,1392320000
"艾滋病","AIDS",2016,54360,14091,3.97,1.03,1383260000
"艾滋病","AIDS",2015,50330,12755,3.69,0.94,1376460000
"艾滋病","AIDS",2014,45145,12030,3.33,0.89,1367260000
"艾滋病","AIDS",2013,42286,11437,3.12,0.84,1359220000
"艾滋病","AIDS",2012,41929,11575,3.11,0.86,1349160000
"艾滋病","AIDS",2011,20450,9224,1.52,0.69,1340910000
"艾滋病","AIDS",2010,15982,7743,1.2,0.58,1334500000
"艾滋病","AIDS",2009,13281,6596,1,0.5,1328020000
"艾滋病","AIDS",2008,10059,5389,0.76,0.41,1321290000
"艾滋病","AIDS",2007,9727,3904,0.74,0.3,1314480000
"艾滋病","AIDS",2006,6671,1331,0.51,0.1,1307560000
"艾滋病","AIDS",2005,5621,1316,0.43,0.1,1299880000
"艾滋病","AIDS",2004,3054,741,0.23,0.06,1292270000
"阿米巴性痢疾","Amebic Dysentery",2020,670,0,0.05,0,1410080000
"阿米巴性痢疾","Amebic Dysentery",2019,775,0,0.06,0,1405410000
"阿米巴性痢疾","Amebic Dysentery",2018,913,0,0.07,0,1400110000
"阿米巴性痢疾","Amebic Dysentery",2017,1045,0,0.08,0,1392320000
"阿米巴性痢疾","Amebic Dysentery",2016,1221,0,0.09,0,1383260000
"阿米巴性痢疾","Amebic Dysentery",2015,1187,0,0.09,0,1376460000
"阿米巴性痢疾","Amebic Dysentery",2014,1263,0,0.09,0,1367260000
"阿米巴性痢疾","Amebic Dysentery",2013,1366,0,0.1,0,1359220000
"阿米巴性痢疾","Amebic Dysentery",2012,1457,0,0.11,0,1349160000
"阿米巴性痢疾","Amebic Dysentery",2011,1609,1,0.12,0,1340910000
"阿米巴性痢疾","Amebic Dysentery",2010,2189,1,0.16,0,1334500000
